itemId,word,img,animacy
Potato,감자,PICTURE_249.png,inanimate
Spider,거미,PICTURE_38.png,animate
Police,경찰,PICTURE_213.png,animate
Stairs,계단,PICTURE_500.png,inanimate
Whale,고래,PICTURE_724.png,animate
Dinosaur,공룡,PICTURE_293.png,animate
Princess,공주,PICTURE_157.png,animate
Airport,공항,PICTURE_617.png,inanimate
Soldier,군인,PICTURE_317.png,animate
Flag,깃발,PICTURE_295.png,inanimate
Camel,낙타,PICTURE_77.png,animate
Wing,날개,PICTURE_307.png,animate
Pot,냄비,PICTURE_369.png,inanimate
Notebook,노트,PICTURE_642.png,inanimate
Eyebrow,눈썹,PICTURE_578.png,animate
Axe,도끼,PICTURE_422.png,inanimate
Hornet,말벌,PICTURE_62.png,animate
Beer,맥주,PICTURE_229.png,inanimate
Octopus,문어,PICTURE_728.png,animate
Ring,반지,PICTURE_744.png,inanimate
Ankle,발목,PICTURE_205.png,animate
Swan,백조,PICTURE_528.png,animate
Mushroom,버섯,PICTURE_177.png,inanimate
Hallway,복도,PICTURE_483.png,inanimate
Envelope,봉투,PICTURE_310.png,inanimate
Kitchen,부엌,PICTURE_730.png,inanimate
Chalk,분필,PICTURE_622.png,inanimate
Apple,사과,PICTURE_552.png,inanimate
Deer,사슴,PICTURE_105.png,animate
Photo,사진,PICTURE_527.png,inanimate
Triangle,삼각,PICTURE_181.png,inanimate
Shark,상어,PICTURE_533.png,animate
Plant,식물,PICTURE_611.png,inanimate
Newspaper,신문,PICTURE_61.png,inanimate
Shoes,신발,PICTURE_541.png,inanimate
Priest,신부,PICTURE_602.png,animate
Rose,장미,PICTURE_480.png,inanimate
Scorpion,전갈,PICTURE_370.png,animate
Lightbulb,전구,PICTURE_244.png,inanimate
Telephone,전화,PICTURE_509.png,inanimate
Fingerprint,지문,PICTURE_537.png,inanimate
Desk,책상,PICTURE_110.png,inanimate
Candle,촛불,PICTURE_68.png,inanimate
Skirt,치마,PICTURE_199.png,inanimate
Cheese,치즈,PICTURE_72.png,inanimate
Blackboard,칠판,PICTURE_402.png,inanimate
Bed,침대,PICTURE_268.png,inanimate
Ostrich,타조,PICTURE_299.png,animate
Bracelet,팔찌,PICTURE_588.png,inanimate
Grapes,포도,PICTURE_620.png,inanimate
Fork,포크,PICTURE_673.png,inanimate
Bomb,폭탄,PICTURE_386.png,inanimate
Folder,폴더,PICTURE_596.png,inanimate
Pizza,피자,PICTURE_489.png,inanimate
